logz,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6,lnprob,N_walkers
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
